Weight,Country,Price
900,AT,$15.45
950,AT,$15.99
1000,AT,$16.53
60,BE,$6.40
100,BE,$6.83
150,BE,$7.37
200,BE,$7.91
250,BE,$8.45
300,BE,$8.99
350,BE,$9.53
400,BE,$10.07
450,BE,$10.60
500,BE,$11.14
550,BE,$11.68
600,BE,$12.22
650,BE,$12.76
700,BE,$13.30
750,BE,$13.83
800,BE,$14.37
850,BE,$14.91
900,BE,$15.45
950,BE,$15.99
1000,BE,$16.53
60,CH,$6.40
100,CH,$6.83
150,CH,$7.37
200,CH,$7.91
250,CH,$8.45
300,CH,$8.99
350,CH,$9.53
400,CH,$10.07
450,CH,$10.60
500,CH,$11.14
550,CH,$11.68
600,CH,$12.22
650,CH,$12.76
700,CH,$13.30
750,CH,$13.83
800,CH,$14.37
850,CH,$14.91
900,CH,$15.45
950,CH,$15.99
1000,CH,$16.53
60,DK,$6.40
100,DK,$6.83
150,DK,$7.37
200,DK,$7.91
250,DK,$8.45
300,DK,$8.99
350,DK,$9.53
400,DK,$10.07
450,DK,$10.60
500,DK,$11.14
550,DK,$11.68
600,DK,$12.22
650,DK,$12.76
700,DK,$13.30
750,DK,$13.83
800,DK,$14.37
850,DK,$14.91
900,DK,$15.45
950,DK,$15.99
1000,DK,$16.53
60,HU,$6.40
100,HU,$6.83
150,HU,$7.37
200,HU,$7.91
250,HU,$8.45
300,HU,$8.99
350,HU,$9.53
400,HU,$10.07
450,HU,$10.60
500,HU,$11.14
550,HU,$11.68
600,HU,$12.22
650,HU,$12.76
700,HU,$13.30
750,HU,$13.83
800,HU,$14.37
850,HU,$14.91
900,HU,$15.45
950,HU,$15.99
1000,HU,$16.53
60,IT,$6.40
100,IT,$6.83
150,IT,$7.37
200,IT,$7.91
250,IT,$8.45
300,IT,$8.99
350,IT,$9.53
400,IT,$10.07
450,IT,$10.60
500,IT,$11.14
550,IT,$11.68
600,IT,$12.22
650,IT,$12.76
700,IT,$13.30
750,IT,$13.83
800,IT,$14.37
850,IT,$14.91
900,IT,$15.45
950,IT,$15.99
1000,IT,$16.53
60,LU,$6.40
100,LU,$6.83
150,LU,$7.37
200,LU,$7.91
250,LU,$8.45
300,LU,$8.99
350,LU,$9.53
400,LU,$10.07
450,LU,$10.60
500,LU,$11.14
550,LU,$11.68
600,LU,$12.22
650,LU,$12.76
700,LU,$13.30
750,LU,$13.83
800,LU,$14.37
850,LU,$14.91
900,LU,$15.45
950,LU,$15.99
1000,LU,$16.53
60,NL,$6.40
100,NL,$6.83
150,NL,$7.37
200,NL,$7.91
250,NL,$8.45
300,NL,$8.99
350,NL,$9.53
400,NL,$10.07
450,NL,$10.60
500,NL,$11.14
550,NL,$11.68
600,NL,$12.22
650,NL,$12.76
700,NL,$13.30
750,NL,$13.83
800,NL,$14.37
850,NL,$14.91
900,NL,$15.45
950,NL,$15.99
1000,NL,$16.53
60,PL,$6.40
100,PL,$6.83
150,PL,$7.37
200,PL,$7.91
250,PL,$8.45
300,PL,$8.99
350,PL,$9.53
400,PL,$10.07
450,PL,$10.60
500,PL,$11.14
550,PL,$11.68
600,PL,$12.22
650,PL,$12.76
700,PL,$13.30
750,PL,$13.83
800,PL,$14.37
850,PL,$14.91
900,PL,$15.45
950,PL,$15.99
1000,PL,$16.53
60,SE,$6.40
100,SE,$6.83
150,SE,$7.37
200,SE,$7.91
250,SE,$8.45
300,SE,$8.99
350,SE,$9.53
400,SE,$10.07
450,SE,$10.60
500,SE,$11.14
550,SE,$11.68
600,SE,$12.22
650,SE,$12.76
700,SE,$13.30
750,SE,$13.83
800,SE,$14.37
850,SE,$14.91
900,SE,$15.45
950,SE,$15.99
1000,SE,$16.53
60,TR,$6.40
100,TR,$6.83
150,TR,$7.37
200,TR,$7.91
250,TR,$8.45
300,TR,$8.99
350,TR,$9.53
400,TR,$10.07
450,TR,$10.60
500,TR,$11.14
550,TR,$11.68
600,TR,$12.22
650,TR,$12.76
700,TR,$13.30
750,TR,$13.83
800,TR,$14.37
850,TR,$14.91
900,TR,$15.45
950,TR,$15.99
1000,TR,$16.53
60,FI,$6.40
100,FI,$6.83
150,FI,$7.37
200,FI,$7.91
250,FI,$8.45
300,FI,$8.99
350,FI,$9.53
400,FI,$10.07
450,FI,$10.60
500,FI,$11.14
550,FI,$11.68
600,FI,$12.22
650,FI,$12.76
700,FI,$13.30
750,FI,$13.83
800,FI,$14.37
850,FI,$14.91
900,FI,$15.45
950,FI,$15.99
1000,FI,$16.53
60,IE,$6.40
100,IE,$6.83
150,IE,$7.37
200,IE,$7.91
250,IE,$8.45
300,IE,$8.99
350,IE,$9.53
400,IE,$10.07
450,IE,$10.60
500,IE,$11.14
550,IE,$11.68
600,IE,$12.22
650,IE,$12.76
700,IE,$13.30
750,IE,$13.83
800,IE,$14.37
850,IE,$14.91
900,IE,$15.45
950,IE,$15.99
1000,IE,$16.53
60,PT,$6.40
100,PT,$6.83
150,PT,$7.37
200,PT,$7.91
250,PT,$8.45
300,PT,$8.99
350,PT,$9.53
400,PT,$10.07
450,PT,$10.60
500,PT,$11.14
550,PT,$11.68
600,PT,$12.22
650,PT,$12.76
700,PT,$13.30
750,PT,$13.83
800,PT,$14.37
850,PT,$14.91
900,PT,$15.45
950,PT,$15.99
1000,PT,$16.53
60,SA,$6.68
100,SA,$7.30
150,SA,$8.07
200,SA,$8.83
250,SA,$9.60
300,SA,$10.37
350,SA,$11.14
400,SA,$11.91
450,SA,$12.68
500,SA,$13.45
550,SA,$14.22
600,SA,$14.99
650,SA,$15.76
700,SA,$16.53
750,SA,$17.30
800,SA,$18.07
850,SA,$18.83
900,SA,$19.60
950,SA,$20.37
1000,SA,$21.14
60,MX,$6.68
100,MX,$7.30
150,MX,$8.07
200,MX,$8.83
250,MX,$9.60
300,MX,$10.37
350,MX,$11.14
400,MX,$11.91
450,MX,$12.68
500,MX,$13.45
550,MX,$14.22
600,MX,$14.99
650,MX,$15.76
700,MX,$16.53
750,MX,$17.30
800,MX,$18.07
850,MX,$18.83
900,MX,$19.60
950,MX,$20.37
1000,MX,$21.14
60,BR,$9.57
100,BR,$10.07
150,BR,$10.68
200,BR,$11.30
250,BR,$11.91
300,BR,$12.53
350,BR,$13.14
400,BR,$13.76
450,BR,$14.37
500,BR,$14.99
550,BR,$15.60
600,BR,$16.22
650,BR,$16.83
700,BR,$17.45
750,BR,$18.07
800,BR,$18.68
850,BR,$19.30
900,BR,$19.91
950,BR,$20.53
1000,BR,$21.14
